confirmed_cases,confirmed_cases_change,confirmed_cases_change_pct,confirmed_cases_minus_deaths,deaths,deaths_change,deaths_change_pct,total_tested,total_tested_change,total_tested_change_pct,dateString,date
1,,,1,0,,,,,,2020-01-24,2020-01-24T00:00:00.000Z
2,1,100,2,0,0,0,,,0,2020-01-30,2020-01-30T00:00:00.000Z
3,1,50,3,0,0,0,,,0,2020-02-29,2020-02-29T00:00:00.000Z
4,1,33.33,4,0,0,0,,,0,2020-03-02,2020-03-02T00:00:00.000Z
5,1,25,5,0,0,0,,,0,2020-03-05,2020-03-05T00:00:00.000Z
6,1,20,6,0,0,0,,,0,2020-03-06,2020-03-06T00:00:00.000Z
10,4,66.67,10,0,0,0,,,0,2020-03-09,2020-03-09T00:00:00.000Z
20,10,100,20,0,0,0,326,326,0,2020-03-10,2020-03-10T00:00:00.000Z
25,5,25,25,0,0,0,367,41,12.58,2020-03-11,2020-03-11T00:00:00.000Z
32,7,28,32,0,0,0,418,51,13.9,2020-03-12,2020-03-12T00:00:00.000Z
46,14,43.75,46,0,0,0,444,26,6.22,2020-03-13,2020-03-13T00:00:00.000Z
64,18,39.13,64,0,0,0,708,264,59.46,2020-03-14,2020-03-14T00:00:00.000Z
93,29,45.31,93,0,0,0,932,224,31.64,2020-03-15,2020-03-15T00:00:00.000Z
105,12,12.9,105,0,0,0,1143,211,22.64,2020-03-16,2020-03-16T00:00:00.000Z
160,55,52.38,159,1,1,0,1500,357,31.23,2020-03-17,2020-03-17T00:00:00.000Z
288,128,80,285,3,2,200,2052,552,36.8,2020-03-18,2020-03-18T00:00:00.000Z
422,134,46.53,418,4,1,33.33,3151,1099,53.56,2020-03-19,2020-03-19T00:00:00.000Z
585,163,38.63,580,5,1,25,4286,1135,36.02,2020-03-20,2020-03-20T00:00:00.000Z
753,168,28.72,747,6,1,20,6247,1961,45.75,2020-03-21,2020-03-21T00:00:00.000Z
1046,293,38.91,1037,9,3,50,8374,2127,34.05,2020-03-22,2020-03-22T00:00:00.000Z
1283,237,22.66,1271,12,3,33.33,9868,1494,17.84,2020-03-23,2020-03-23T00:00:00.000Z
1535,252,19.64,1519,16,4,33.33,11485,1617,16.39,2020-03-24,2020-03-24T00:00:00.000Z
